음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
블론드 에스프레소 토닉,355,80,0,17,0,1,0,0,30,0,0,0,0,0,0,스타벅스
아이스 블론드 리스트레토 마키아또,355,215,0,28,0,6,0,0,95,0,0,0,0,0,0,스타벅스
에스프레소,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
카라멜 스타벅스 더블 샷,207,125,0,14,0,3,0,0,28.5,0,0,0,0,0,0,스타벅스
커피 스타벅스 더블 샷,207,125,0,14,0,3,0,0,28.5,0,0,0,0,0,0,스타벅스
클래식 아포가토,355,225,0,18,0,3,0,0,70,0,0,0,0,0,0,스타벅스
헤이즐넛 스타벅스 더블 샷,355,125,0,14,0,3,0,0,28.5,0,0,0,0,0,0,스타벅스
모카 프라푸치노,355,280,0,36,0,5,0,0,180,0,0,0,0,0,0,스타벅스
에스프레소 프라푸치노,355,140,0,22,0,3,0,0,125,0,0,0,0,0,0,스타벅스
이천 햅쌀 커피 프라푸치노,355,270,0,41,0,5,0,0,200,0,0,0,0,0,0,스타벅스
자바 칩 프라푸치노,355,340,0,42,0,6,0,0,180,0,0,0,0,0,0,스타벅스
카라멜 프라푸치노,355,300,0,39,0,4,0,0,190,0,0,0,0,0,0,스타벅스
화이트 초콜릿 모카 프라푸치노,355,320,0,43,0,5,0,0,210,0,0,0,0,0,0,스타벅스
그린 티 크림 프라푸치노,355,290,0,42,0,5,0,0,175,0,0,0,0,0,0,스타벅스
바닐라 크림 프라푸치노,355,310,0,38,0,9,0,0,241,0,0,0,0,0,0,스타벅스
이천 햅쌀 크림 프라푸치노,355,240,0,33,0,5,0,0,200,0,0,0,0,0,0,스타벅스
제주 까망 크림 프라푸치노,355,600,0,79,0,9,0,0,330,0,0,0,0,0,0,스타벅스
제주 말차샷 크림 프라푸치노,355,265,0,43,0,6,0,0,180.4,0,0,0,0,0,0,스타벅스
제주 쑥떡 크림 프라푸치노,355,460,0,57,0,8,0,0,250,0,0,0,0,0,0,스타벅스
초콜릿 크림 칩 프라푸치노,355,370,0,44,0,11,0,0,266,0,0,0,0,0,0,스타벅스
초콜릿 크림 프라푸치노,355,325,0,39,0,10,0,0,240,0,0,0,0,0,0,스타벅스
