음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
닭구이,340,872,26.5,0,45.5,89.1,94.86,894.92,2553.09,1357.74,103.62,2.89,5.74,405.21,0.2
닭발구이,220,431,21.3,0.7,20.7,39.9,85.01,143.07,1820.1,321.8,41.45,1.45,1.87,180.07,0.1
돼지갈비구이,300,881,10.4,14.4,55.6,84.7,55.39,639.93,2211.65,941.32,95.18,4155.67,11842.67,215.21,0.3
돼지고기산적,170,339,2.6,0.1,14.6,49.4,31.38,349.78,995.79,528.71,48.52,1.54,3.09,95.46,0.1
돼지불고기,200,449,8.1,9.3,33.1,29.7,28.43,314.24,625.15,677.87,45.55,1763.86,4453.7,85.66,0.2
등심스테이크,200,388,0.3,0,16.1,60.4,11.55,455.97,268.07,663.37,50.42,5.16,20.27,168.35,0.7
런천미트구이,160,484,5.2,2.7,39,28.1,50.44,449.01,1526,654.88,37.47,0.87,2.4,57.11,0.3
뱅어포구이,70,261,17.6,11.1,10.6,24.1,726.76,588.42,1035.38,256.37,78.41,1.48,2.72,328.83,0.1
버섯구이,80,41,3.8,0.1,1.1,4.1,1.64,113.76,393.24,319.21,10.91,0.58,1.44,0,0
삼겹살고추장구이,200,805,25.3,11.4,65.7,28.4,28.59,394.46,1020.67,741.4,62.43,1.92,4.28,71.04,0.6
삼겹살구이,200,933,0.7,0,83.4,45.1,17.74,404.99,1152.79,740.87,43.29,1375.41,5486.16,79.44,0.7
삼치구이,200,355,2.9,0.4,19.1,42.8,35.65,318.66,434.32,440.38,58.03,3.8,7.23,158.76,0.1
새송이버섯구이,80,66,9.3,3.6,1.8,3.4,0.79,105.9,370.78,299.12,13.9,0.48,0.94,0,0
새우구이,180,260,5.1,0.1,8,42.1,148.2,434.16,593.55,574.59,99.65,0.79,4.58,421.16,0.1
소갈비구이,300,722,4.8,0.8,43.7,77.7,101.23,537.4,1204.66,819.57,71.28,11.77,24.64,233.25,1.8
소곱창구이,150,275,7.1,1.7,17.6,22.3,43.97,247.13,1971.87,408.59,34.77,2262.44,2924.31,294.17,0.5
소불고기,200,339,8.5,6.5,19.3,32.8,37.46,306.4,835.81,617.28,45.12,4.59,9.33,100.04,0.4
안심스테이크,200,366,0.2,0,9.7,69.6,9.36,525.34,205.42,770.44,55.4,4.98,6.52,160.49,0
오리고기구이,200,586,9.8,0,39.4,48.1,16.74,456.89,1416.66,669.41,49.85,5.47,5.11,264.65,0.2
오리불고기,250,361,22.6,15.7,22.6,16.9,35.91,234.9,1168.55,755.99,51.04,2379.95,1795.75,77.82,0.1
장어고추장구이,100,258,6.2,0.4,17.2,19.8,164.77,248.81,321.94,261.69,24.27,0.72,2.53,131.89,0.3
조기구이,180,460,36.4,0,19.5,34.8,218.18,409.28,2456.07,481.41,77.88,0.86,1.31,165.22,0.2
조미김,5,23,1.4,0,1.5,1,18.54,14.54,200.55,60.69,9.61,0.59,0.09,0,0
쥐포구이,70,238,37.4,23.1,0.2,21.7,264.75,168.06,1473.69,26.89,30.65,0.93,0.84,95.5,0
